publish_date,publish_time,title,link,platform,media_name,channel_type,reading_count,reading_count_note,content_type,sentiment,keyword_hit,source_origin,author,notes
2026-01-30,08:46,官宣！艾迪康×迈瑞，全面战略合作！,https://mp.weixin.qq.com/s/dBtdfwm2BFFAXeHd1M\_j-w,wechat,体外诊断观察,external,NA,导出文章未展示可解析阅读量,战略合作/生态合作,positive,迈瑞,基于合作方官方素材,,文件名: 官宣_艾迪康_迈瑞_全面战略合作_.md
2026-02-04,13:55,迈瑞：2027年后国内增长提速，盈利趋稳,https://mp.weixin.qq.com/s/BmKZu7SRDtBFo03fcQjy0A,wechat,体外诊断观察,external,NA,导出文章未展示可解析阅读量,财报经营/资本预期,positive,迈瑞,媒体自写/转载未明,,文件名: 迈瑞_2027年后国内增长提速_盈利趋稳.md
2026-02-10,14:05,迈瑞上市子公司，2亿回购激励员工！,https://mp.weixin.qq.com/s/sk06r5nYGQ28Y8zAuwiAKw,wechat,体外诊断观察,external,NA,导出文章未展示可解析阅读量,新品获证/菜单扩展 | 财报经营/资本预期,positive,迈瑞,媒体自写/转载未明,,文件名: 迈瑞上市子公司_2亿回购激励员工_.md
2026-02-25,17:00,迈瑞这台生化仪，装机超2500台，三甲占比约50%！,https://mp.weixin.qq.com/s/TIgGQKiA7SfFE4b0\_2i4yA,wechat,体外诊断观察,external,NA,导出文章未展示可解析阅读量,流水线装机/标杆落地,positive,迈瑞,转载品牌官方公众号,,文件名: 迈瑞这台生化仪_装机超2500台_三甲占比约50__.md
2026-02-26,14:35,全球Top 10目标遭投资者质疑，迈瑞正面回应！,https://mp.weixin.qq.com/s/ICpiwh5xoLocl38k7M3fug,wechat,体外诊断观察,external,NA,导出文章未展示可解析阅读量,财报经营/资本预期 | 全球化/基地布局 | 争议/风险,risk/mixed,迈瑞,媒体自写/转载未明,行星,文件名: 全球Top_10目标遭投资者质疑_迈瑞正面回应_.md
2026-02-27,14:15,山东首条！迈瑞MT 8000流水线落地泰安大三甲,https://mp.weixin.qq.com/s/1vnpeqzH7LzsM\_fXdVWGqA,wechat,体外诊断观察,external,NA,导出文章未展示可解析阅读量,流水线装机/标杆落地,positive,迈瑞,媒体自写/转载未明,,文件名: 山东首条_迈瑞MT_8000流水线落地泰安大三甲.md
2026-02-28,13:45,迈瑞联合创始人，再次捐赠1亿元！,https://mp.weixin.qq.com/s/oV0Qv4WGh9ipL11cHnlQpQ,wechat,体外诊断观察,external,NA,导出文章未展示可解析阅读量,公益/社会责任,positive,迈瑞,媒体自写/转载未明,,文件名: 迈瑞联合创始人_再次捐赠1亿元_.md
2026-03-01,17:46,迈瑞，大量招人！,https://mp.weixin.qq.com/s/fgP3ubc5tlvSgYPAz00IUg,wechat,体外诊断观察,external,NA,导出文章未展示可解析阅读量,招聘/组织品牌,positive,迈瑞,转载品牌官方素材,,文件名: 迈瑞_大量招人_.md
2026-03-04,,共塑未来医疗：迈瑞医疗与IHH集团缔结全面战略合作伙伴关系,https://www.mindray.com/cn/media-center/news/mindray-and-ihh-healthcare-form-strategic-partnership,website,迈瑞官网,official,NA,官网未公开阅读量,战略合作/官网主叙事,positive,迈瑞;IHH;实验室,品牌官网,,正文明确覆盖实验室、生化、凝血等整体方案
2026-03-04,14:16,迈瑞，11个凝血新试剂获证！,https://mp.weixin.qq.com/s/ATxfB2xetmPoppvLAhx6pg,wechat,体外诊断观察,external,NA,导出文章未展示可解析阅读量,新品获证/菜单扩展,positive,迈瑞,转载品牌官方公众号,,文件名: 迈瑞_11个凝血新试剂获证_.md
2026-03-06,14:40,迈瑞MT 8000落地公立医院，皖北首家“无人值守”实验室！,https://mp.weixin.qq.com/s/qSCSXKDz5wqn0kPbb7Gtmg,wechat,体外诊断观察,external,NA,导出文章未展示可解析阅读量,流水线装机/标杆落地,positive,迈瑞,媒体自写/转载未明,,文件名: 迈瑞MT_8000落地公立医院_皖北首家_无人值守_实验室_.md
2026-03-09,15:06,前迈瑞中国区总经理，新职务亮相！,https://mp.weixin.qq.com/s/VI\_90ww1vcmPJ7MsHUOvoQ,wechat,体外诊断观察,external,NA,导出文章未展示可解析阅读量,其他品牌曝光,positive,迈瑞,媒体自写/转载未明,,文件名: 前迈瑞中国区总经理_新职务亮相_.md
2026-03-13,14:30,迈瑞，研发大量招人！,https://mp.weixin.qq.com/s/6s0FdIYjIsutKtsZDxFs7g,wechat,体外诊断观察,external,NA,导出文章未展示可解析阅读量,招聘/组织品牌,positive,迈瑞,转载品牌官方素材,,文件名: 迈瑞_研发大量招人_.md
2026-03-17,,邀请函｜迈瑞医疗邀您共赴CACLP 2026盛会,https://mp.weixin.qq.com/s?src=11&timestamp=1775617003&ver=6647&signature=3hOs*bi12q*2xsgohRJQyeRfoQNA8GMDiMKpDXsFup0OGs9Q*5J6hFpjAFMKmKxsHfbhMvelYOWUXw9yzVc7OCMFo679ND9qwHxoWbuWwhBTeA4Tfyld4tgGn9OudPlT&new=1,wechat,迈瑞体外诊断,official,NA,公众号搜索结果未公开展示阅读量,展会活动/官方预热,positive,迈瑞体外诊断;CACLP,品牌官方公众号,,Q1官方公众号已核验样本
2026-03-23,,务实但不低调！CACLP2026迈瑞发布两款新品，在需求根部“破旧立新”！,https://mp.weixin.qq.com/s?src=11&timestamp=1775616260&ver=6647&signature=TjVVp3121Bpjmj84OqyKVYWnWJTu6uzxmrHVpnGvjcMBmYECfj9J9KNmHxd7uBbMtjPSPF9HX9JPkl-tLwLsPSgiyBZGmgdLiWdjuM25TkhyxDIjcSSCtXlIer5DXLQG&new=1,wechat,MIR医学仪器与试剂,external,NA,公众号搜索结果未公开展示阅读量,展会活动/新品观察,positive,迈瑞;CACLP,行业媒体公众号,,已核验的Q1媒体放大样本
2026-03-25,,专访迈瑞！用数智化让高质量检验触达更多人群,https://mp.weixin.qq.com/s?src=11&timestamp=1775617003&ver=6647&signature=TjVVp3121Bpjmj84OqyKVYWnWJTu6uzxmrHVpnGvjcPb*UBmczHzjuicWt4EZWz8YsWyy1m1J-kfIgjwho73d1wJ3VooSEc18vTcrnBJmqVvDgx6ErEHfFuGlBjBUQtM&new=1,wechat,MIR医学仪器与试剂,external,NA,公众号搜索结果未公开展示阅读量,专访/数智化叙事,positive,迈瑞;数智化,行业媒体公众号,,已核验的Q1观点延展样本
